"","poisson"
"1971",289.363955864568
"1972",294.088794527576
"1973",309.808320453172
"1974",296.070381735279
"1975",297.120114705549
"1976",284.587857044714
"1977",300.190478539373
"1978",268.058569602744
"1979",327.505260568507
"1980",317.616474074044
"1981",311.593252346986
"1982",323.212700679648
"1983",322.196210251754
"1984",515.952094643319
"1985",979.661424962995
"1986",816.259120763438
"1987",713.519000845677
"1988",715.532774965292
"1989",822.752410099404
"1990",688.201266375213
"1991",932.119853252748
"1992",776.132404226631
"1993",912.363351731881
"1994",777.286789392364
"1995",909.424447946238
"1996",1003.68700305643
"1997",1048.16727671691
"1998",1011.20974982637
"1999",974.793438641888
"2000",937.336500909141
"2001",732.179929416413
"2002",894.667487573391
"2003",405.022670599206
"2004",1181.02344312331
"2005",1276.62376635207
"2006",922.143731728682
"2007",890.853570023336
"2008",983.352748229645
"2009",806.085013505768
"2010",779.834761128915
"2011",667.007469753705
"2012",745.630695506288
"2013",669.878875203763
"2014",844.903758264311
"2015",871.398282874312
"2016",801.502753763821
"2017",606.135126228821
"2018",548.663271211618
"2019",597.834520301975
"2020",443.440638658055
